"timeframe" "time" "price_in_usd"
"1D" "2024-08-27_05:45:00" 63178.7322469326
"1D" "2024-08-27_05:40:00" 63087.5957057764
"1D" "2024-08-27_05:35:00" 63062.8347009618
"1D" "2024-08-27_05:30:00" 63001.6663083819
"1D" "2024-08-27_05:25:00" 63122.9549602087
"1D" "2024-08-27_05:20:00" 63077.6401423017
"1D" "2024-08-27_05:15:00" 63084.554939945
"1D" "2024-08-27_05:10:00" 63141.1860700365
"1D" "2024-08-27_05:05:00" 63196.899767586
"1D" "2024-08-27_05:00:00" 63139.1587897505
"1D" "2024-08-27_04:55:00" 63131.2757068682
"1D" "2024-08-27_04:50:00" 63100.3569270249
"1D" "2024-08-27_04:45:00" 62968.237365039
"1D" "2024-08-27_04:35:00" 62763.210377291
"1D" "2024-08-27_04:30:00" 62727.7817292188
"1D" "2024-08-27_04:25:00" 62796.6056220469
"1D" "2024-08-27_04:20:00" 62958.972711553
"1D" "2024-08-27_04:15:00" 63044.9851409059
"1D" "2024-08-27_04:10:00" 63026.4843020177
"1D" "2024-08-27_04:05:00" 62921.9017401166
"1D" "2024-08-27_04:00:00" 62966.2827179549
"1D" "2024-08-27_03:55:00" 62953.5968598984
"1D" "2024-08-27_03:50:00" 62954.5455999693
"1D" "2024-08-27_03:45:00" 62876.7286305327
"1D" "2024-08-27_03:40:00" 62874.2802803987
"1D" "2024-08-27_03:35:00" 62846.5795371394
"1D" "2024-08-27_03:30:00" 62856.5841463225
"1D" "2024-08-27_03:25:00" 62889.9626294747
"1D" "2024-08-27_03:20:00" 62915.4389607737
"1D" "2024-08-27_03:15:00" 62987.9255421746
"1D" "2024-08-27_03:10:00" 63009.1535422248
"1D" "2024-08-27_03:05:00" 63102.833998939
"1D" "2024-08-27_03:00:00" 63124.4292398204
"1D" "2024-08-27_02:55:00" 63143.3329941906
"1D" "2024-08-27_02:50:00" 63121.8496021905
"1D" "2024-08-27_02:45:00" 63077.8150199513
"1D" "2024-08-27_02:40:00" 62991.4657106532
"1D" "2024-08-27_02:35:00" 62976.8159815245
"1D" "2024-08-27_02:30:00" 63006.0023344061
"1D" "2024-08-27_02:25:00" 63004.1108044441
"1D" "2024-08-27_02:20:00" 62963.3716952078
"1D" "2024-08-27_02:15:00" 62931.090393752
"1D" "2024-08-27_02:10:00" 62986.0957751599
"1D" "2024-08-27_02:05:00" 63101.037448939
"1D" "2024-08-27_02:00:00" 63115.9078513933
"1D" "2024-08-27_01:55:00" 63149.5290993381
"1D" "2024-08-27_01:50:00" 63147.7676954732
"1D" "2024-08-27_01:45:00" 63200.1666388294
"1D" "2024-08-27_01:40:00" 63179.6762176589
"1D" "2024-08-27_01:35:00" 63239.2427222227
"1D" "2024-08-27_01:30:00" 63175.4800408312
"1D" "2024-08-27_01:25:00" 63241.5817684662
"1D" "2024-08-27_01:20:00" 63080.3612555711
"1D" "2024-08-27_01:15:00" 63060.9156729149
"1D" "2024-08-27_01:10:00" 63049.4002565362
"1D" "2024-08-27_01:05:00" 63115.6748379462
"1D" "2024-08-27_01:00:00" 63007.1422241377
"1D" "2024-08-27_00:55:00" 63002.0865468059
"1D" "2024-08-27_00:50:00" 63136.0348689109
"1D" "2024-08-27_00:45:00" 63287.4928163521
"1D" "2024-08-27_00:40:00" 63346.9201753996
"1D" "2024-08-27_00:35:00" 63394.948629393
"1D" "2024-08-27_00:30:00" 63447.6447890448
"1D" "2024-08-27_00:25:00" 63444.288006457
"1D" "2024-08-27_00:20:00" 63537.1486697905
"1D" "2024-08-27_00:15:00" 63547.6864286543
"1D" "2024-08-27_00:10:00" 63481.0903077516
"1D" "2024-08-27_00:05:00" 63435.865560301
"1D" "2024-08-27" 63404.9136406889
"1D" "2024-08-26_23:55:00" 63346.5982872569
"1D" "2024-08-26_23:50:00" 63320.606398458
"1D" "2024-08-26_23:45:00" 63246.4866317345
"1D" "2024-08-26_23:40:00" 63273.793590724
"1D" "2024-08-26_23:35:00" 63366.1980411099
"1D" "2024-08-26_23:30:00" 63352.4569099821
"1D" "2024-08-26_23:25:00" 63347.5088714515
"1D" "2024-08-26_23:20:00" 63333.363743406
"1D" "2024-08-26_23:15:00" 63394.1767867233
"1D" "2024-08-26_23:10:00" 63492.2511777767
"1D" "2024-08-26_23:05:00" 63536.8996576941
"1D" "2024-08-26_23:00:00" 63541.6870720381
"1D" "2024-08-26_22:55:00" 63561.488442607
"1D" "2024-08-26_22:50:00" 63552.1137600614
"1D" "2024-08-26_22:45:00" 63608.8630467496
"1D" "2024-08-26_22:40:00" 63540.4978965643
"1D" "2024-08-26_22:35:00" 63659.1585212386
"1D" "2024-08-26_22:30:00" 63669.7439161755
"1D" "2024-08-26_22:25:00" 63630.226132415
"1D" "2024-08-26_22:20:00" 63608.2911315479
"1D" "2024-08-26_22:15:00" 63678.4246056079
"1D" "2024-08-26_22:10:00" 63657.8874696175
"1D" "2024-08-26_22:05:00" 63646.621037742
"1D" "2024-08-26_22:00:00" 63560.7479014281
"1D" "2024-08-26_21:55:00" 63488.0926098654
"1D" "2024-08-26_21:50:00" 63286.4855229404
"1D" "2024-08-26_21:45:00" 63418.5192146069
"1D" "2024-08-26_21:40:00" 63307.2074695728
